"Date","Day","Birm","Cov","Av","BirmVol","CovVol","VolumeT"
"6-Oct","Wed",38.6,17.1,27.86,2487,1609,4096
"7-Oct","Thu",42.9,17.6,30.26,2758,1597,4355
"8-Oct","Fri",26.8,13.1,19.97,1373,1314,2687
"11-Oct","Mon",38.6,26.8,32.73,2287,2822,5109
"12-Oct","Tue",39.4,13.1,26.29,2468,1483,3951
"13-Oct","Wed",33.2,17.4,25.34,2150,1876,4026
"14-Oct","Thu",,,,,,
"15-Oct","Fri",1.2,0.1,0.6599999999999999,418,93,511
"18-Oct","Mon",39.6,21.7,30.66,2752,2261,5013
"19-Oct","Tue",30.6,17.9,24.28,1452,2193,3645
"20-Oct","Wed",37.4,24.9,31.18,2170,2440,4610
"21-Oct","Thu",43.9,19,31.46,3138,2069,5207
"22-Oct","Fri",20.7,15.5,18.14,1586,1374,2960
"25-Oct","Mon",48.5,25.1,36.82,3052,2689,5741
"26-Oct","Tue",46.3,19.1,32.74,2793,1983,4776
"27-Oct","Wed",35.2,22,28.63,2081,2053,4134
"28-Oct","Thu",29.9,13,21.46,1726,1056,2782
"29-Oct","Fri",30.7,12.6,21.69,1847,1221,3068
"1-Nov","Mon",54.2,23.9,39.09,3970,2286,6256
"2-Nov","Tue",34.7,20,27.36,2023,2120,4143
"3-Nov","Wed",37,18.3,27.68,2434,2029,4463
"4-Nov","Thu",46.8,18.5,32.67,2664,2089,4753
"5-Nov","Fri",23.4,10.2,16.82,2175,912,3087
"8-Nov","Mon",44.2,21.8,33.02,2674,2272,4946
"9-Nov","Tue",35.9,18.6,27.27,2169,2124,4293
"10-Nov","Wed",42.7,22.1,32.42,2528,2378,4906
"11-Nov","Thu",33.3,16.5,24.93,1975,1941,3916
"12-Nov","Fri",21.3,14,17.69,1630,1153,2783
"15-Nov","Mon",,,,,,
"16-Nov","Tue",35.2,17.5,26.36,2125,1593,3718
"17-Nov","Wed",38.3,16.9,27.61,2459,1686,4145
"18-Nov","Thu",42.9,19.3,31.11,2610,2000,4610
"19-Nov","Fri",23.9,12.8,18.37,1544,1230,2774
"22-Nov","Mon",51.1,26.5,38.84,2755,2433,5188
"23-Nov","Tue",39.1,16.4,27.79,2201,1711,3912
"24-Nov","Wed",32.4,21.4,26.94,2307,2255,4562
"25-Nov","Thu",30.3,25.3,27.82,1855,2501,4356
"26-Nov","Fri",19.9,11.9,15.92,1873,1068,2941
"29-Nov","Mon",43.7,25.4,34.59,2651,2592,5243
"30-Nov","Tue",45.4,15.8,30.62,3101,1963,5064
"1-Dec","Wed",33.3,21.6,27.49,1986,2276,4262
"2-Dec","Thu",42.6,15,28.81,2359,1416,3775
"3-Dec","Fri",32.4,14.2,23.31,2150,1596,3746
"6-Dec","Mon",48,25,36.54,2567,2606,5173
"7-Dec","Tue",34,21.6,27.83,2462,2195,4657
"8-Dec","Wed",31.3,20.4,25.87,1626,1876,3502
"9-Dec","Thu",33.7,13.5,23.64,2355,1418,3773
"10-Dec","Fri",20.5,5.6,13.07,1822,551,2373
"13-Dec","Mon",40.4,25.6,33.01000000000001,2401,2520,4921
"14-Dec","Tue",35.9,19.9,27.94,2355,1949,4304
"15-Dec","Wed",29.4,22.9,26.17,1496,1889,3385
"16-Dec","Thu",34.9,26.4,30.67,2238,2435,4673
"17-Dec","Fri",36.9,14.6,25.78,2728,1186,3914
"20-Dec","Mon",,,,,,
"21-Dec","Tue",31.8,19.7,25.76,2271,2112,4383
"22-Dec","Wed",18.4,19.6,19.01,1543,1824,3367
"23-Dec","Thu",29.5,12.8,21.18,2063,1414,3477
"24-Dec","Fri",18.8,13.6,16.22,1324,1248,2572
